timestamp_ms,monotonic_ts,pressure
1779243743652,597757.914137,55
1779243743672,597757.934585,55
1779243743693,597757.955425,54
1779243743709,597757.971595,54
1779243743730,597757.991851,54
1779243743750,597758.012103,54
1779243743770,597758.032369,53
1779243743791,597758.052694,52
1779243743811,597758.073008,52
1779243743831,597758.093309,51
1779243743852,597758.113649,51
1779243743873,597758.134886,51
1779243743888,597758.150099,50
1779243743909,597758.171093,49
1779243743929,597758.191283,48
1779243743949,597758.211543,50
1779243743970,597758.231779,50
1779243743990,597758.252040,50
1779243744010,597758.272342,51
1779243744031,597758.292651,51
1779243744052,597758.314469,51
1779243744069,597758.331026,51
1779243744090,597758.352236,50
1779243744110,597758.372524,50
1779243744132,597758.394005,51
1779243744153,597758.415424,50
1779243744169,597758.431031,50
1779243744190,597758.452384,51
1779243744211,597758.472687,51
1779243744232,597758.493813,51
1779243744253,597758.514989,52
1779243744268,597758.530206,53
1779243744290,597758.551844,53
1779243744310,597758.572130,52
1779243744331,597758.592916,52
1779243744352,597758.613938,53
1779243744367,597758.629158,52
1779243744387,597758.649433,52
1779243744408,597758.669720,53
1779243744428,597758.690009,52
1779243744448,597758.710295,52
1779243744468,597758.730576,53
1779243744489,597758.751428,53
1779243744510,597758.771684,53
1779243744530,597758.791918,52
1779243744550,597758.812617,52
1779243744571,597758.832892,52
1779243744591,597758.853134,52
1779243744607,597758.869447,52
1779243744628,597758.890165,53
1779243744648,597758.910496,53
1779243744669,597758.930780,53
1779243744689,597758.951014,53
1779243744709,597758.971248,53
1779243744729,597758.991484,52
1779243744750,597759.011716,53
1779243744770,597759.031965,53
1779243744790,597759.052260,53
1779243744810,597759.072560,53
1779243744826,597759.087779,53
1779243744846,597759.108070,58
1779243744866,597759.128601,53
1779243744887,597759.148830,54
1779243744907,597759.169141,59
1779243744927,597759.189436,53
1779243744948,597759.209725,52
1779243744968,597759.230015,52
1779243744988,597759.250306,51
1779243745008,597759.270617,49
1779243745029,597759.290941,48
1779243745049,597759.311263,48
1779243745070,597759.331872,47
1779243745085,597759.347099,47
1779243745105,597759.367377,46
1779243745125,597759.387622,54
1779243745146,597759.407913,51
1779243745166,597759.428263,50
1779243745186,597759.448558,50
1779243745207,597759.468851,45
1779243745227,597759.489216,46
1779243745247,597759.509565,46
1779243745269,597759.530953,45
1779243745284,597759.546467,49
1779243745305,597759.566772,44
1779243745326,597759.587816,42
1779243745346,597759.608361,42
1779243745368,597759.629676,45
1779243745388,597759.649970,41
1779243745408,597759.670246,42
1779243745425,597759.686701,42
1779243745445,597759.706931,46
1779243745465,597759.727222,42
1779243745485,597759.747484,42
1779243745506,597759.767767,41
1779243745526,597759.788069,39
1779243745546,597759.808352,38
1779243745567,597759.828635,38
1779243745587,597759.849032,39
1779243745607,597759.869341,41
1779243745624,597759.885776,40
1779243745645,597759.906924,40
1779243745665,597759.927578,40
1779243745687,597759.949300,39
1779243745707,597759.969568,39
1779243745724,597759.986111,38
1779243745744,597760.006413,39
1779243745765,597760.026704,40
1779243745785,597760.046983,40
1779243745805,597760.067256,41
1779243745825,597760.087561,41
1779243745846,597760.107877,40
1779243745867,597760.129273,40
1779243745883,597760.144787,40
1779243745903,597760.165381,39
1779243745924,597760.185667,36
1779243745944,597760.206366,36
1779243745965,597760.226789,36
1779243745985,597760.247075,34
1779243746005,597760.267371,35
1779243746026,597760.287868,34
1779243746046,597760.308108,32
1779243746066,597760.328415,33
1779243746087,597760.348711,34
1779243746102,597760.363978,33
1779243746122,597760.384286,30
1779243746144,597760.405707,29
1779243746164,597760.426033,29
1779243746184,597760.446325,28
1779243746205,597760.467034,26
1779243746225,597760.487427,23
1779243746241,597760.503211,22
1779243746262,597760.523818,21
1779243746282,597760.544108,17
1779243746303,597760.565455,15
1779243746324,597760.585736,16
1779243746344,597760.606026,16
1779243746364,597760.626310,16
1779243746384,597760.646592,16
1779243746405,597760.667218,15
1779243746422,597760.683685,16
1779243746442,597760.704025,16
1779243746462,597760.724305,14
1779243746482,597760.744608,14
1779243746503,597760.764920,14
1779243746523,597760.785211,14
1779243746543,597760.805502,13
1779243746564,597760.825787,14
1779243746584,597760.846070,13
1779243746604,597760.866389,12
1779243746625,597760.886706,11
1779243746645,597760.907028,12
1779243746661,597760.922889,13
