frame_idx,image_path,frame_timestamp_ms,frame_monotonic_ts,matched_pressure,pressure_timestamp_ms,pressure_monotonic_ts,sync_error_ms
0,rgb/000000_1779243743644.png,1779243743644,597757.906145,55,1779243743632,597757.893851,12.295
1,rgb/000001_1779243743677.png,1779243743677,597757.938698,55,1779243743672,597757.934585,4.113
2,rgb/000002_1779243743709.png,1779243743709,597757.971111,54,1779243743709,597757.971595,0.484
3,rgb/000003_1779243743741.png,1779243743741,597758.003355,54,1779243743730,597757.991851,11.504
4,rgb/000004_1779243743775.png,1779243743775,597758.036865,53,1779243743770,597758.032369,4.497
5,rgb/000005_1779243743806.png,1779243743806,597758.068371,52,1779243743791,597758.052694,15.677
6,rgb/000006_1779243743839.png,1779243743839,597758.100725,51,1779243743831,597758.093309,7.416
7,rgb/000007_1779243743871.png,1779243743871,597758.133022,51,1779243743873,597758.134886,1.864
8,rgb/000008_1779243743903.png,1779243743903,597758.165105,50,1779243743888,597758.150099,15.006
9,rgb/000009_1779243743937.png,1779243743937,597758.198937,48,1779243743929,597758.191283,7.654
10,rgb/000010_1779243743968.png,1779243743968,597758.230272,50,1779243743970,597758.231779,1.507
11,rgb/000011_1779243744001.png,1779243744001,597758.262659,50,1779243743990,597758.252040,10.62
12,rgb/000012_1779243744033.png,1779243744033,597758.294964,51,1779243744031,597758.292651,2.313
13,rgb/000013_1779243744066.png,1779243744066,597758.328016,51,1779243744069,597758.331026,3.01
14,rgb/000014_1779243744097.png,1779243744097,597758.359612,50,1779243744090,597758.352236,7.376
15,rgb/000015_1779243744130.png,1779243744130,597758.391956,51,1779243744132,597758.394005,2.049
16,rgb/000016_1779243744164.png,1779243744164,597758.425944,50,1779243744169,597758.431031,5.087
17,rgb/000017_1779243744195.png,1779243744195,597758.457217,51,1779243744190,597758.452384,4.834
18,rgb/000018_1779243744229.png,1779243744229,597758.490724,51,1779243744232,597758.493813,3.089
19,rgb/000019_1779243744260.png,1779243744260,597758.521648,52,1779243744253,597758.514989,6.659
20,rgb/000020_1779243744292.png,1779243744292,597758.554277,53,1779243744290,597758.551844,2.433
21,rgb/000021_1779243744325.png,1779243744325,597758.587347,52,1779243744331,597758.592916,5.569
22,rgb/000022_1779243744357.png,1779243744357,597758.619211,53,1779243744352,597758.613938,5.274
23,rgb/000023_1779243744390.png,1779243744390,597758.651735,52,1779243744387,597758.649433,2.302
24,rgb/000024_1779243744422.png,1779243744422,597758.683822,53,1779243744408,597758.669720,14.102
25,rgb/000025_1779243744455.png,1779243744455,597758.716624,52,1779243744448,597758.710295,6.329
26,rgb/000026_1779243744487.png,1779243744487,597758.748741,53,1779243744489,597758.751428,2.687
27,rgb/000027_1779243744519.png,1779243744519,597758.780768,53,1779243744510,597758.771684,9.084
28,rgb/000028_1779243744552.png,1779243744552,597758.813876,52,1779243744550,597758.812617,1.259
29,rgb/000029_1779243744584.png,1779243744584,597758.845704,52,1779243744571,597758.832892,12.812
30,rgb/000030_1779243744616.png,1779243744616,597758.878085,52,1779243744607,597758.869447,8.638
31,rgb/000031_1779243744649.png,1779243744649,597758.910647,53,1779243744648,597758.910496,0.151
32,rgb/000032_1779243744681.png,1779243744681,597758.942931,53,1779243744669,597758.930780,12.151
33,rgb/000033_1779243744715.png,1779243744715,597758.977238,53,1779243744709,597758.971248,5.99
34,rgb/000034_1779243744746.png,1779243744746,597759.007729,52,1779243744729,597758.991484,16.244
35,rgb/000035_1779243744778.png,1779243744778,597759.040306,53,1779243744770,597759.031965,8.341
36,rgb/000036_1779243744811.png,1779243744811,597759.072681,53,1779243744810,597759.072560,0.121
37,rgb/000037_1779243744843.png,1779243744843,597759.105348,58,1779243744846,597759.108070,2.722
38,rgb/000038_1779243744876.png,1779243744876,597759.138219,53,1779243744866,597759.128601,9.618
39,rgb/000039_1779243744908.png,1779243744908,597759.169801,59,1779243744907,597759.169141,0.66
40,rgb/000040_1779243744940.png,1779243744940,597759.202549,52,1779243744948,597759.209725,7.177
41,rgb/000041_1779243744973.png,1779243744973,597759.234824,52,1779243744968,597759.230015,4.809
42,rgb/000042_1779243745006.png,1779243745006,597759.267686,49,1779243745008,597759.270617,2.931
43,rgb/000043_1779243745039.png,1779243745039,597759.301137,48,1779243745029,597759.290941,10.196
44,rgb/000044_1779243745070.png,1779243745070,597759.332085,47,1779243745070,597759.331872,0.213
