frame_idx,timestamp,fsr_force_g,contact_point_count,qpos_index_joint0,qpos_index_joint1,qpos_index_joint2,qpos_index_joint3,qvel_index_joint0,qvel_index_joint1,qvel_index_joint2,qvel_index_joint3,qacc_index_joint0,qacc_index_joint1,qacc_index_joint2,qacc_index_joint3,tau_motion_no_contact_index_joint0,tau_motion_no_contact_index_joint1,tau_motion_no_contact_index_joint2,tau_motion_no_contact_index_joint3,tau_contact_fsr_index_joint0,tau_contact_fsr_index_joint1,tau_contact_fsr_index_joint2,tau_contact_fsr_index_joint3,tau_required_with_fsr_index_joint0,tau_required_with_fsr_index_joint1,tau_required_with_fsr_index_joint2,tau_required_with_fsr_index_joint3
0,98523.583638,39.0,120,0.0,0.3441099593639374,0.36176901888847357,0.47197806406021126,0.0,-0.19303765393250227,0.044109336836315016,0.07598969988476156,0.0,-2.5898013251846157,2.429016902084575,2.14904224572322,-2.9013921895324824e-06,-0.18562184675454438,0.05799928946125965,0.08188392923434747,-3.3582924480062054e-05,-0.03401342490020357,-0.016797351490603966,-0.007580502570226939,3.068153229052957e-05,-0.1516084218543408,0.07479664095186361,0.0894644318045744
1,98523.61582,40.0,120,0.0,0.33643859820365907,0.3646109126567841,0.4756717921733856,0.0,-0.28371091097411405,0.1325045322479026,0.15356272768563883,0.0,-3.0452280088311503,3.0644387802425674,2.6718531477857814,-2.8953607135713216e-06,-0.2627252106716986,0.13506432978487898,0.14917027384166467,-3.444402510775642e-05,-0.03493119265454037,-0.017273428653921074,-0.007780990524470467,3.15486643941851e-05,-0.2277940180171582,0.15233775843880004,0.15695126436613513
2,98523.649042,40.0,120,0.0,0.3254583070421219,0.3705287617492676,0.48210366022109985,0.0,-0.39268904357580325,0.24520740748899428,0.2512920920525863,0.0,-2.7429913767478435,3.4286039776016928,2.8156539847704383,-2.8641498728205783e-06,-0.3468725191424262,0.2288717290987062,0.2287939889438305,-3.444402510775658e-05,-0.03496328655822076,-0.017306968841669886,-0.007773614755537647,3.1579875234936e-05,-0.31190923258420544,0.24617869794037608,0.23656760369936813
3,98523.680232,40.0,120,0.0,0.3113896687622071,0.3801409480609894,0.49163073858833317,0.0,-0.46250931462306166,0.35320520500281916,0.3354212419483371,0.0,-1.4493429747177613,3.1154737980969873,2.2545799898164853,-2.816015735233286e-06,-0.38975365329123035,0.3121512478881309,0.2904911456388638,-3.444402510775642e-05,-0.034966701150679486,-0.017315347501450914,-0.007746177396116372,3.162800937252313e-05,-0.3547869521405509,0.32946659538958184,0.2982373230349802
4,98523.713062,39.0,120,0.0,0.29580992796382904,0.39329251866645815,0.5036782082813263,0.0,-0.482819337415588,0.4434916075847539,0.3941399652049471,0.0,-0.259311681730253,1.970124485406803,1.3015932043728364,-2.8046241770945582e-06,-0.39407741211046066,0.37293295146831207,0.3279390545682889,-3.3582924480063294e-05,-0.03405086607572168,-0.016850130749816023,-0.007501240771374305,3.077830030296873e-05,-0.360026546034739,0.3897830822181281,0.33544029533966324
5,98523.745039,39.0,120,0.0,0.2801135066220093,0.40881007966285704,0.5171280095495605,0.0,-0.4799195807894927,0.4821964459825212,0.4205935807885499,0.0,0.5765583977528559,0.19041673067974507,0.21764810902392284,-2.83236862567908e-06,-0.38339462832531296,0.38609776731996526,0.33826306862859545,-1.2395648307242667e-05,-0.03413438568740397,-0.016947276784134116,-0.007596993181023178,9.563279681563587e-06,-0.349260242637909,0.40304504410409936,0.34586006180961865
6,98523.77728,40.0,120,0.0,0.26499625588011166,0.42425657913594056,0.5306878788882752,0.0,-0.4455363088068469,0.4551790169630685,0.407793682369336,0.0,1.1551538716753393,-0.9615032812867463,-0.4415434216224332,-2.8515134141500907e-06,-0.3500952004934876,0.35296486085940043,0.3214325057699774,-1.2713485443325483e-05,-0.03491093552853465,-0.01730069729915497,-0.007713294256030433,9.861972029175392e-06,-0.31518426496495294,0.3702655581585554,0.32914580002600785
7,98523.810491,40.0,120,0.0,0.2509982376857712,0.4385553618709931,0.5437937461228577,0.0,-0.40413776669737667,0.4190209003062808,0.39160598011794967,0.0,1.211849483386457,-1.3100469200981912,-0.6349450703948953,-2.864339959631785e-06,-0.31640773962494895,0.3205525934829426,0.30654958413018824,-3.712725788188491e-05,-0.03503962509941983,-0.0174492407451896,-0.007864242380676458,3.4262917922253125e-05,-0.2813681145255291,0.33800183422813224,0.3144138265108647
8,98523.842373,40.0,120,0.0,0.23864452358596436,0.4515619210752399,0.5561865490986035,0.0,-0.3665630512626401,0.37048059908792563,0.3668474790548011,0.0,1.1554205638082795,-1.8098346744407499,-0.9668311449162283,-2.887563562912134e-06,-0.28691677678224814,0.2767194011801974,0.28342436226256035,-3.7127257881885726e-05,-0.03493766718529309,-0.017367667830650194,-0.00778789208956638,3.4239694318973594e-05,-0.251979109596955,0.2940870690108476,0.2912122543521267
9,98523.875003,41.0,120,0.0,0.22738218459695902,0.46239908038398037,0.5674267230282725,0.0,-0.3296342915774937,0.30182994855802736,0.3289457947805108,0.0,1.0306833563918616,-1.8041699369211202,-1.0621809835750664,-2.8954616557342996e-06,-0.2586210082527528,0.22185460337963023,0.25215061822678664,-3.8055439328932094e-05,-0.03572724377724571,-0.017739438188176485,-0.007916681196524425,3.515997767319779e-05,-0.2228937644755071,0.23959404156780673,0.2600672994233111
